Breed,Breed Group AKC,Breed Group CKC,Breed Group UKC,CKC Subgroup,height_low_inches,height_high_inches,average height,weight_low_lbs,weight_high_lbs,average weight,Lifespan Low,Lifespan High,average lifespan
Boxer,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog ,None,21,25,23,55,80,67.5,10,12,11
Briard,Herding Group,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-A: X-Large Pastoral Dogs ,22,27,24.5,55,100,77.5,12,12,12
Brittany,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-A: Pointing Dogs,17,21,19,30,45,37.5,12,14,13
Brussels Griffon,Toy Group,Group 5: Pinschers and Schnauzers ,Companion Dog,5-B: Small Pinschers and Schnauzers ,7,10,8.5,7,13,10,12,15,13.5
Bull Terrier,Terrier Group,Group 4: Bull Breeds ,Terrier,4-B: Bull-and-Terrier Breeds ,20,24,22,25,80,52.5,12,13,12.5
Bulldog,Non-Sporting Group,Group 4: Bull Breeds ,Companion Dog,4-A: Bulldogs ,12,17,14.5,40,58,49,8,10,9
Bullmastiff,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog,None,24,27,25.5,90,130,110,7,9,8
Cairn Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers ,9,12,10.5,13,17,15,13,15,14
Canaan Dog,Herding Group,Not Recognized,Sighthound & Pariah,Not Recognized,19,24,21.5,35,55,45,12,15,13.5
Cane Corso,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog,None,23,28,25.5,80,110,95,9,12,10.5
Cardigan Welsh Corgi,Herding Group,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-D: Small Pastoral Dogs ,10,13,11.5,25,38,31.5,12,15,13.5
Carolina Dog,Foundation Stock Service,"Group 1: Primitive, Pariah, and Feral Breeds ",Sighthound & Pariah,None,17,24,20.5,30,45,37.5,12,15,13.5
Catahoula Leopard Dog,Foundation Stock Service,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-E: Multi-Purpose Stock Dogs and Curs ,20,26,23,50,95,72.5,10,14,12
Cavalier King Charles Spaniel,Toy Group,Group 12: Companion and Toy Breeds,Companion Dog,12-C: European and African Breeds ,10,15,12.5,11,20,15.5,12,15,13.5
Chesapeake Bay Retriever,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-C: Retrievers and Waterdogs ,21,26,23.5,55,80,67.5,10,13,11.5
Chihuahua,Toy Group,Group 12: Companion and Toy Breeds,Companion Dog,12-A: Americas and Caribbean Breeds ,5,10,7.5,1,7,4,14,16,15
Chinese Crested,Toy Group,Group 12: Companion and Toy Breeds,Companion Dog,12-B: Asian Breeds ,9,13,11,5,13,9,13,18,15.5
Chinese Shar-Pei,Non-Sporting Group,Group 2: Spitz and Nordic Breeds,Northern,2-C: Asian Spitz Breeds ,17,20,18.5,40,60,50,8,12,10
Chow Chow,Non-Sporting Group,Group 2: Spitz and Nordic Breeds,Northern,2-C: Asian Spitz Breeds ,17,23,20,45,70,57.5,8,12,10
Clumber Spaniel,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,None,17,20,18.5,55,85,70,10,12,11
Collie,Herding Group,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-B: Large Pastoral Dogs ,20,26,23,45,75,60,12,14,13
Coton de Tulear,Non-Sporting Group,Group 12: Companion and Toy Breeds ,Companion Fog,12-C: European and African Breeds ,9,11,10,8,15,11.5,15,19,17
Curly Coated Retriever,Sporting Group,Not Recognized,Gun Dog,Not Recognized,23,27,25,60,95,77.5,10,12,11
"Dachshund, Miniature",Hound Group,Group 7: Scenthounds and Related Breeds ,Scenthound,7-C: Short-legged Hounds and Dachshunds ,5,14,9.5,1,11,6,12,16,14
"Dachshund, Standard",Hound Group,Group 7: Scenthounds and Related Breeds ,Scenthound,7-C: Short-legged Hounds and Dachshunds ,8,18,13,12,32,22,12,16,14
Dalmatian,Non-Sporting Group,Group 7: Scenthounds and Related Breeds ,Companion Dog,7-D: Scenthound Related Breeds ,19,24,21.5,45,71,58,11,13,12
Dandie Dinmont Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,8,11,9.5,18,24,21,12,15,13.5
Danish-Swedish Farmdog,Foundation Stock Service,Not Recognized,Terrier,Not Recognized,12.5,14.5,13.5,15,20,17.5,11,13,12
Doberman Pinscher,Working Group,Group 5: Pinschers and Schnauzers ,Guardian Dog,5-A: Large Pinschers and Schnauzers ,24,29,26.5,60,100,80,10,12,11
Dogo Argentino,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog,None,23,27,25,80,100,90,9,15,12
Dutch Shepherd,Miscellaneous Class,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-B: Large Pastoral Dogs ,21.5,26,23.75,42,75,58.5,11,14,12.5
English Bulldog,Not Recognized,Group 4: Bull Breeds ,Companion Dog,4-A: Bulldogs,12,17,14.5,40,58,49,8,10,9
English Cocker Spaniel,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-B: Flushing Dogs ,15,18,16.5,24,35,29.5,12,14,13
English Coonhound,Hound Group,Group 7: Scenthounds and Related Breeds ,Scenthound,7-A: Large Scenthounds,20,27,23.5,45,70,57.5,11,12,11.5
English Foxhound,Hound Group,Group 7: Scenthounds and Related Breeds ,Scenthound,None,23,26,24.5,45,65,55,11,12,11.5
English Setter,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-D: Setters,22,27,24.5,45,80,62.5,12,12,12
English Shepherd,Not Recognized,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-C: Medium Pastoral Dogs,18,24,21,40,65,52.5,,,0
English Springer Spaniel,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-B: Flushing Dogs,19,20,19.5,35,50,42.5,12,14,13
English Toy Spaniel,Toy Group,Group 12: Companion and Toy Breeds ,Companion Dog,12-C: European and African Breeds,9,11,10,8,14,11,10,12,11
Field Spaniel,Sporting Group,Group 11: Gun Dog Breeds,Gun Dog,None,16,18,17,35,50,42.5,12,13,12.5
Finnish Spitz,Non-Sporting Group,Group 2: Spitz and Nordic Breeds ,Northern,2-E: Nordic Hunting Dogs,15,20,17.5,15,35,25,13,15,14
Flat Coated Retriever,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,None,22,25,23.5,60,80,70,8,10,9
French Bulldog,Non-Sporting Group,Group 4: Bull Breeds ,Companion Dog,4-A: Bulldogs,11,13,12,16,28,22,10,12,11
German Longhaired Pointer,Foundation Stock Service,Not Recognized,Gun Dog,Not Recognized,22,28,25,55,80,67.5,12,14,13
German Pinscher,Working Group,Not Recognized,Terrier,Not Recognized,17,20,18.5,25,45,35,12,14,13
German Shepherd Dog,Herding Group,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-B: Large Pastoral Dogs ,21,26,23.5,48,90,69,12,14,13
German Shorthaired Pointer,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-A: Pointing Dogs,21,26,23.5,45,70,57.5,10,12,11
German Wirehaired Pointer,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-A: Pointing Dogs ,19,26,22.5,50,70,60,14,16,15
Giant Schnauzer,Working Group,Group 5: Pinschers and Schnauzers ,Guardian Dog,5-A: Large Pinschers and Schnauzers ,23,28,25.5,55,104,79.5,12,15,13.5
Glen of Imaal Terrier,Terrier Group,Not Recognized,Terrier,Not Recognized,12.5,14,13.25,32,40,36,10,15,12.5
Golden Retriever,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-C: Retrievers and Waterdogs ,20,24,22,55,75,65,10,12,11
Gordon Setter,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,None,23,27,25,45,80,62.5,12,13,12.5
Great Dane,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog,None,28,34,31,99,200,149.5,7,10,8.5
Great Pyrenees,Working Group,Group 9: Large Guardian Pastoral/Mountain Dogs  ,Guardian Dog,9-A Large Mountain/Pastoral Dogs Shepherding Type,25,32,28.5,85,115,100,10,15,12.5
Greater Swiss Mountain Dog,Working Group,Group 9: Large Guardian Pastoral/Mountain Dogs  ,Guardian Dog,None,23,29,26,85,140,112.5,8,11,9.5
Greyhound,Hound Group,Group 8: Sighthound Breeds ,Sighthound & Pariah,8-A: Smooth Coated Sighthounds,27,30,28.5,60,70,65,10,13,11.5
Harrier,Hound Group,Group 7: Scenthounds and Related Breeds ,Scenthound,None,19,21,20,40,65,52.5,12,15,13.5
Havanese,Toy Group,Group 12: Companion and Toy Breeds,Companion Dog,12-A: Americas and Caribbean Breeds,8,12,10,7,14,10.5,14,16,15
Ibizan Hound,Hound Group,Group 8: Sighthound Breeds ,Sighthound & Pariah,None,22,29,25.5,40,55,47.5,11,14,12.5
Irish Setter,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-D: Setters,21,27,24,50,75,62.5,12,15,13.5
Irish Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,18,19,18.5,24,28,26,13,15,14
Irish Water Spaniel,Sporting Group,Not Recognized,Gun Dog,Not Recognized,21,24,22.5,45,68,56.5,12,13,12.5
Irish Wolfhound,Hound Group,Group 8: Sighthound Breeds ,Sighthound & Pariah,8-C: Rough Haired Sighthounds ,28,32,30,89,125,107,6,8,7
Italian Greyhound,Toy Group,Group 8: Sighthound Breeds ,Companion Dog,8-A: Smooth Coated Sighthounds ,12,15,13.5,7,14,10.5,14,15,14.5
Jack Russell Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-B: Medium Terriers ,9,13,11,9,18,13.5,12,14,13
Japanese Chin,Toy Group,Group 12: Companion and Toy Breeds ,Companion Dog,12-B: Asian Breeds ,8,12,10,4,15,9.5,10,12,11
Kangal,Not Recognized,Group 9: Large Guardian Pastoral/Mountain Dogs ,Guardian Dog,None,28,32,30,90,150,120,12,15,13.5
